Episode,Air Date,Laura,Liam,Marisha,Taliesin,Travis,Sam,Ashley
C2E001,1/11/18,1,1,1,1,1,1,1
C2E002,1/18/18,1,1,1,1,1,1,0
C2E003,1/25/18,1,1,1,1,1,1,0
C2E004,2/1/18,1,1,1,1,1,1,1
C2E005,2/8/18,1,1,1,1,1,1,0
C2E006,2/15/18,1,1,1,1,1,1,0
C2E007,2/22/18,1,1,1,1,1,1,0
C2E008,3/1/18,1,1,1,1,1,1,0
C2E009,3/8/18,1,1,1,1,1,1,1
C2E010,3/15/18,1,1,1,1,1,1,1
C2E011,3/22/18,1,1,1,1,1,1,0
C2E012,3/29/18,1,1,1,1,1,1,0
C2E013,4/5/18,1,1,1,1,1,1,0
C2E014,4/12/18,0,1,1,1,1,1,1
C2E015,4/19/18,1,1,1,1,1,1,1
C2E016,4/26/18,1,1,1,1,1,1,1
C2E017,5/3/18,1,1,1,1,1,1,1
C2E018,5/10/18,1,1,1,1,1,1,1
C2E019,5/17/18,1,1,1,1,1,1,1
C2E020,5/24/18,1,1,1,1,1,1,1
C2E021,5/31/18,1,1,1,1,1,1,1
C2E022,6/7/18,1,1,1,1,1,1,1
C2E023,6/14/18,1,1,1,1,1,1,1
C2E024,6/21/18,1,1,1,1,1,1,0
C2E025,6/28/18,0,1,1,1,0,1,1
C2E026,7/12/18,0,1,1,1,0,1,0
C2E027,7/19/18,0,1,1,0,0,1,0
C2E028,7/26/18,0,1,1,1,0,1,0
C2E029,8/2/18,0,1,1,1,0,1,0
C2E030,8/9/18,1,1,1,1,1,1,0
C2E031,8/16/18,1,1,1,1,1,1,0
C2E032,8/23/18,1,1,1,1,1,1,0
C2E033,9/6/18,1,1,1,1,1,1,0
C2E034,9/13/18,1,1,1,1,1,1,1
C2E035,9/20/18,1,1,1,1,1,1,0
C2E036,9/27/18,1,1,1,1,1,1,0
C2E037,10/4/18,1,1,1,1,1,1,1
C2E038,10/11/18,1,1,1,1,1,1,0
C2E039,10/18/18,1,1,1,1,1,1,0
C2E040,11/1/18,0,1,1,1,1,1,0
C2E041,11/8/18,1,1,1,1,1,1,0
C2E042,11/15/18,1,1,1,1,1,1,0
C2E043,11/29/18,1,1,1,1,1,1,0
C2E044,12/6/18,1,1,1,1,1,1,0
C2E045,12/13/18,1,1,1,1,1,1,0
C2E046,12/20/18,1,1,1,1,1,1,1
C2E047,1/10/19,1,1,1,1,1,1,0
C2E048,1/17/19,1,1,1,1,1,1,0
C2E049,1/24/19,1,1,1,1,1,1,0
C2E050,1/31/19,1,1,1,1,1,1,0
C2E051,2/14/19,1,1,1,1,1,1,0
C2E052,2/21/19,1,1,1,1,1,1,0
C2E053,2/28/19,1,1,1,1,1,1,0
C2E054,3/7/19,1,1,1,1,1,1,0
C2E055,3/14/19,1,1,1,1,1,1,0
C2E056,3/21/19,1,1,1,0,1,1,0
C2E057,4/4/19,1,1,1,1,1,1,0
C2E058,4/11/19,1,1,1,1,1,1,1
C2E059,4/18/19,1,1,1,1,1,1,1
C2E060,4/25/19,1,1,1,1,1,1,1
C2E061,5/2/19,1,1,1,1,1,1,1
C2E062,5/9/19,1,1,1,1,1,1,1
C2E063,5/16/19,1,1,1,1,1,1,1
C2E064,5/23/19,1,1,1,1,1,1,1
C2E065,5/30/19,1,1,1,1,1,1,1
C2E066,6/6/19,1,1,1,1,1,1,1
C2E067,6/13/19,1,1,1,1,1,1,1
C2E068,6/20/19,0,1,1,1,1,1,1
C2E069,6/27/19,1,1,1,1,1,1,1
C2E070,7/11/19,1,1,1,1,1,1,0
C2E071,7/18/19,1,1,1,1,1,1,0
C2E072,7/25/19,1,1,1,1,1,1,0
C2E073,8/2/19,1,1,1,1,1,1,0
C2E074,8/8/19,1,1,1,1,1,1,0
C2E075,8/15/19,1,0,1,1,1,1,0
C2E076,8/22/19,1,1,1,1,1,1,0
C2E077,9/5/19,1,1,1,1,1,1,0
C2E078,9/19/19,1,1,1,1,1,1,0
C2E079,9/26/19,1,1,1,1,1,1,0
C2E080,10/10/19,1,1,1,1,1,1,0
C2E081,10/17/19,1,1,1,1,1,1,0
C2E082,10/24/19,1,1,1,1,1,1,0
C2E083,10/31/19,1,1,1,1,1,1,0
C2E084,11/7/19,1,1,1,1,1,1,0
C2E085,11/14/19,1,1,1,1,1,1,0
C2E086,11/21/19,1,1,1,1,1,1,1
C2E087,12/5/19,1,1,1,1,1,1,1
C2E088,12/12/19,1,1,1,1,1,1,1
C2E089,12/19/19,1,1,1,1,1,1,1
C2E090,1/9/20,1,1,1,1,1,1,1
C2E091,1/16/20,1,1,1,1,1,1,1
C2E092,1/23/20,1,1,1,1,1,1,1
C2E093,1/30/20,1,1,1,1,1,1,1
C2E094,2/6/20,1,1,1,1,1,1,1
C2E095,2/13/20,1,1,1,1,1,1,1
C2E096,2/20/20,1,1,1,1,1,1,1
C2E097,2/27/20,1,1,1,1,1,1,1
C2E098,3/5/20,1,1,1,1,1,1,1
C2E099,3/12/20,1,1,1,1,1,1,1
