Look
"Caleb (2-16, 3:44:30)"
"Jester (2-17, 0:16:26)"
"Fjord (2-18, 3:45:20)"
"Nott (2-21, 2:47:22)"
"Caleb (2-22, 0:43:56)"
"Nott (2-25, 1:20:58)"
"Beau (2-26, 1:40:30)"
"Beau (2-26, 3:06:08)"
"Beau (2-28, 1:51:11)"
"Caleb (2-31, 1:20:15) ← glean information"
"Caduceus (2-32, 0:18:46)"
"Fjord (2-32, 2:01:34)"
"Jester (2-34, 0:57:35)"
"Fjord (2-36, 3:28:00)"
"Caduceus (2-38, 2:12:29)"
"Nott (2-42, 2:04:23)"
"Twiggy (2-45, 0:36:32)"
"Jester (2-47, 3:14:07)"
"Jester (2-48, 2:41:52"
"Nott (2-51, 2:41:26)"
"Caduceus (2-51, 2:58:00)"
"Beau (2-52, 0:27:25)"
"Caleb (2-53, 0:50:43)"
"Jester (2-54, 2:30:36)"
"Nott (2-56, 1:03:06)"
"Caleb (2-99, 2:06:58)"
